n,Algorithm,Time (s),Comparisons,Moves
1000,Mergesort,0.006999492645263672,8694,9976
1000,Quicksort,0.006434440612792969,11056,14378
1000,Heapsort,0.008565664291381836,16867,18194
100000,Mergesort,1.2050840854644775,1536031,1668928
100000,Quicksort,0.7907311916351318,1932084,2241116
100000,Heapsort,1.7359232902526855,3019230,3149386
10000000,Mergesort,151.91933584213257,220102476,233222784
10000000,Quicksort,131.91379022598267,288003218,317192418
10000000,Heapsort,298.85973596572876,434642641,447670724
100000000,Mergesort,1230.2322127819061,1773893836,1865625544
100000000,Quicksort,1091.2793259620667,2460567458,2688913206
100000000,Heapsort,1812.338994026184,3507573456,3600622768
